country_territory,Gender,Control,agreement
Andorra,Female,7.448484848484848,0.05350463016823729
Andorra,Male,7.595284872298625,0.05002698911103438
Argentina,Female,7.784735812133072,0.08434865940857679
Argentina,Male,7.761904761904762,0.08826706021172981
Australia,Female,7.773186409550046,0.05519154882715899
Australia,Male,7.529411764705882,0.04636471687244539
Bangladesh,Female,7.21875,0.15697720081433217
Bangladesh,Male,7.3141891891891895,0.17125153526750492
Bolivia,Female,7.452122408687068,0.12438961932100545
Bolivia,Male,7.500986193293886,0.126531896788904
Brazil,Female,7.550955414012739,0.12183261506231725
Brazil,Male,7.563144329896907,0.10036084608786927
Chile,Female,7.4272030651340994,0.10150811256691221
Chile,Male,7.550106609808102,0.10635049422567643
China,Female,7.117753623188406,0.12205293313407083
China,Male,7.073206442166911,0.1045018246676388
Colombia,Female,8.178947368421053,0.09050392141479884
Colombia,Male,8.063157894736841,0.09279069292213316
Cyprus,Female,6.641025641025641,0.10279415221424398
Cyprus,Male,6.830543933054393,0.11789693536871892
Ecuador,Female,7.4781906300484655,0.10373439051876872
Ecuador,Male,7.662565905096661,0.10107855490984731
Egypt,Female,6.2214285714285715,0.15343538002137525
Egypt,Male,6.824959481361426,0.18813775024988344
Ethiopia,Female,7.21630615640599,0.10500601167597201
Ethiopia,Male,7.735056542810986,0.11064888842496882
Germany,Female,7.118709677419355,0.05564374128413316
Germany,Male,7.148648648648648,0.05420032141714353
Greece,Female,6.0504731861198735,0.08962960749261284
Greece,Male,6.078431372549019,0.09348153816397903
Guatemala,Female,7.725705329153605,0.10019496722483856
Guatemala,Male,7.7752212389380535,0.09537952822008255
Hong Kong SAR PRC,Female,6.787878787878788,0.09976761083941448
Hong Kong SAR PRC,Male,6.500525762355416,0.09800306025487841
Indonesia,Female,7.662263067202757,0.1312220306582472
Indonesia,Male,7.696527777777778,0.11344653359103497
Iran,Female,6.945205479452055,0.1334438951993641
Iran,Male,6.904199475065616,0.16803429470855358
Iraq,Female,6.511824324324325,0.1431476980262167
Iraq,Male,7.046052631578948,0.16158610717414265
Japan,Female,6.045081967213115,0.1059802886925994
Japan,Male,6.047038327526132,0.07126883866178643
Jordan,Female,7.050335570469799,0.15420262330441534
Jordan,Male,7.682042833607908,0.16512081590193078
Kazakhstan,Female,6.641812865497076,0.11457002000255793
Kazakhstan,Male,6.693805309734513,0.10932949694822208
Kyrgyzstan,Female,7.724795640326976,0.18070322957943616
Kyrgyzstan,Male,7.742222222222222,0.12224201102550904
Lebanon,Female,5.778333333333333,0.10961317952253093
Lebanon,Male,5.983333333333333,0.11967228183707873
Macao SAR PRC,Female,6.506151142355009,0.10761431453436983
Macao SAR PRC,Male,6.4387527839643655,0.10328019552325562
Malaysia,Female,7.25,0.1148787036388584
Malaysia,Male,7.111111111111111,0.12796537520782916
Mexico,Female,8.152601156069364,0.11186722255461506
Mexico,Male,8.176605504587156,0.10755208618488295
Myanmar,Female,6.808013355592655,0.16390877253113276
Myanmar,Male,6.627287853577371,0.1675271010748152
New Zealand,Female,7.704424778761062,0.0574338493463581
New Zealand,Male,7.683098591549296,0.04200785211419555
Nicaragua,Female,8.00163666121113,0.10957111183475247
Nicaragua,Male,7.98811544991511,0.10516330675961438
Nigeria,Female,6.68,0.15850968664701112
Nigeria,Male,6.8655063291139244,0.20524192043747488
Pakistan,Female,7.252620545073375,0.16704239790757294
Pakistan,Male,8.043478260869565,0.19490597986771874
Peru,Female,7.5404624277456644,0.08332821658691729
Peru,Male,7.7785714285714285,0.08555379876820178
Philippines,Female,6.655,0.12890682654464145
Philippines,Male,6.881666666666667,0.13552593906366753
Puerto Rico,Female,8.42143906020558,0.11400291802380225
Puerto Rico,Male,8.390022675736962,0.06758649169389587
Romania,Female,7.580080753701211,0.09625687688939126
Romania,Male,7.787628865979381,0.073728070213481
Russia,Female,6.425552353506244,0.13192400822438857
Russia,Male,6.976584022038567,0.1090344760357645
Serbia,Female,6.451492537313433,0.06343127072282356
Serbia,Male,6.757142857142857,0.08272632202382223
South Korea,Female,6.967084639498433,0.12239035058311319
South Korea,Male,7.003294892915981,0.13148878250258142
Taiwan ROC,Female,7.41335453100159,0.08065479941601612
Taiwan ROC,Male,7.260942760942761,0.08021349637217093
Tajikistan,Female,7.448844884488449,0.1351421234576682
Tajikistan,Male,7.52020202020202,0.15605229246280647
Thailand,Female,6.229987293519695,0.11525480767357088
Thailand,Male,6.02589928057554,0.09697134268627423
Tunisia,Female,6.162037037037037,0.15207101875770504
Tunisia,Male,6.193548387096774,0.15134681185145407
Turkey,Female,6.5815126050420165,0.12527032587088296
Turkey,Male,6.726061615320567,0.1485186210989191
Ukraine,Female,6.175271739130435,0.14953038435171787
Ukraine,Male,6.330708661417323,0.10069327326552001
United States,Female,7.7283333333333335,0.05790924378588117
United States,Male,7.70072463768116,0.07224916721274986
Vietnam,Female,8.065648854961832,0.14244008917497267
Vietnam,Male,8.06605504587156,0.13258165348149623
Zimbabwe,Female,7.244698205546492,0.0962814947909516
Zimbabwe,Male,7.273949579831933,0.1111871298653392
