country_territory,tot_agree,tot_pop,percent_agree
Andorra,76.33333333333333,691,0.1104679208876025
Argentina,86.5,518,0.166988416988417
Australia,74.66666666666666,1176,0.06349206349206349
Bangladesh,252,401,0.628428927680798
Bolivia,565,1374,0.41120815138282385
Brazil,318.6666666666667,1147,0.2778262133100843
Chile,143.16666666666666,438,0.3268645357686453
China,878.3333333333333,2252,0.390023682652457
Colombia,365.3333333333333,1303,0.28037861345612686
Cyprus,160.83333333333334,449,0.35820341499628805
Ecuador,223,709,0.3145275035260931
Egypt,177.5,262,0.6774809160305344
Ethiopia,295.8333333333333,836,0.35386762360446566
Germany,117,1048,0.11164122137404581
Greece,144.33333333333334,547,0.2638634978671542
Guatemala,173.66666666666666,625,0.27786666666666665
Hong Kong SAR PRC,287.1666666666667,1062,0.2704017576898933
Indonesia,1022.3333333333333,2053,0.4979704497483357
Iran,273.3333333333333,578,0.4728950403690888
Iraq,117.5,244,0.48155737704918034
Japan,40.833333333333336,202,0.20214521452145215
Jordan,195.5,331,0.5906344410876133
Kazakhstan,138.33333333333334,360,0.3842592592592593
Kyrgyzstan,246.5,479,0.5146137787056367
Lebanon,209.5,472,0.4438559322033898
Macao SAR PRC,146.66666666666666,448,0.3273809523809524
Malaysia,201.83333333333334,495,0.40774410774410774
Mexico,342.3333333333333,993,0.3447465592480698
Myanmar,260.3333333333333,449,0.5798069784706755
New Zealand,34.666666666666664,570,0.06081871345029239
Nicaragua,321,932,0.3444206008583691
Nigeria,606.5,946,0.6411205073995772
Pakistan,271.5,392,0.6926020408163265
Peru,195.83333333333331,764,0.256326352530541
Philippines,312.5,625,0.5
Puerto Rico,179.16666666666666,850,0.2107843137254902
Romania,160,547,0.29250457038391225
Russia,256.5,621,0.41304347826086957
Serbia,118,547,0.21572212065813529
South Korea,313.6666666666667,555,0.5651651651651652
Taiwan ROC,200.83333333333334,816,0.24611928104575165
Tajikistan,256.6666666666667,510,0.5032679738562091
Thailand,204.33333333333334,587,0.3480976717773992
Tunisia,174.66666666666666,318,0.5492662473794548
Turkey,505.8333333333333,1013,0.49934188877920366
Ukraine,182.16666666666666,486,0.37482853223593965
United States,148.16666666666666,1739,0.08520222350009583
Vietnam,461.6666666666667,839,0.5502582439411998
Zimbabwe,261,747,0.3493975903614458
